PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
600;39218509;Phengaris teleius;modrásek oèkovanı;Motıli;Králová Kateøina;20150801;20150801;;6060617;PP Šafránová stráò;5463;Suchı Dùl;-605235.5;-1009328.79;ZICHA O. et al. (2017) Mapování vıskytu fauny. Databáze Biolib.;0;3;0;jedinci;;;;;;0;Modrásek oèkovanı byl pozorován (pøímé pozorování) na mezofilní louce v nadmoøské vıšce 566 m.;;Pùvodní zdroj: http://www.biolib.cz/cz/speciesmappingdetail/id28441;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data Biolib.cz;Administrátor ND adminnd;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20170109
601;39214902;Phengaris teleius;modrásek oèkovanı;Motıli;Valda Slávek;20160715;20160715;;5360857;NPP Polabská èernava 329;5653;Mìlnická Vrutice;-730506;-1016192;VALDA S. (2016) Monitoring 2016 - sledování stavu lokalit hmyzu.;0;1;0;samci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Valda Slavomír;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;575;20170102
602;39214900;Phengaris teleius;modrásek oèkovanı;Motıli;Valda Slávek;20160721;20160721;;6058761;Loukov - niva Jizery;5456;Loukov u Mnichova Hradištì;-692465.48;-997419.78;VALDA S. (2016) Monitoring 2016 - sledování stavu lokalit hmyzu.;0;2;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Valda Slavomír;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;100;20170102
603;39182523;Phengaris teleius;modrásek oèkovanı;Motıli;Janák Radek;20160719;20160719;;1241619;Kaplice - Ješkov - K4;7252;Zdíky;-758034;-1195263;JANÁK R., JANÁKOVÁ J. (2016) Mapování modráska èernoskvrnného (Phengaris arion) na Kaplicku. Biotopové a managementové preference.;0;15;0;jedinci;;;;;;0;;cca 1/4 støední pokosené èásti lokality;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;VU;;;553;0;20161109
604;39182522;Phengaris teleius;modrásek oèkovanı;Motıli;Janák Radek;20160719;20160719;;1241619;Kaplice - Ješkov - K4;7252;Zdíky;-758034;-1195263;JANÁK R., JANÁKOVÁ J. (2016) Mapování modráska èernoskvrnného (Phengaris arion) na Kaplicku. Biotopové a managementové preference.;0;3;0;jedinci;;;;;;0;;èást lokality u chat;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;VU;;;553;0;20161109
605;39182508;Phengaris teleius;modrásek oèkovanı;Motıli;Janák Radek;20160719;20160719;;1241619;Kaplice - Ješkov - K4;7252;Zdíky;-758034;-1195263;JANÁK R., JANÁKOVÁ J. (2016) Mapování modráska èernoskvrnného (Phengaris arion) na Kaplicku. Biotopové a managementové preference.;0;57;0;jedinci;;;;;;0;;jiní èást lokality;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;VU;;;553;0;20161109
606;39182458;Phengaris teleius;modrásek oèkovanı;Motıli;Janák Radek;20160623;20160623;;1241619;Kaplice - Ješkov - K4;7252;Zdíky;-758034;-1195263;JANÁK R., JANÁKOVÁ J. (2016) Mapování modráska èernoskvrnného (Phengaris arion) na Kaplicku. Biotopové a managementové preference.;0;1;0;samci;;;;;;0;;jiní èást louky;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;VU;;;553;0;20161109
607;39181989;Phengaris teleius;modrásek oèkovanı;Motıli;Marhoul Pavel;20120727;20120727;;6049330;EVL Ronov - Vlhoš (èást);5352;Stvolínky;-733019.27;-983984.78;KADLEC T., ZAPLETAL M., MARHOUL P. (2013) Motıli vybranıch evropsky vıznamnıch lokalit Libereckého kraje (Èeská republika). Klapalekiana. 49, 1-2. 43-71.;0;21;0;jedinci;;;;;;0;sbìr entomologickou síkou;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;SO;HD II, HD IV;VU;;_;;1140;20161109
608;39181975;Phengaris teleius;modrásek oèkovanı;Motıli;Marhoul Pavel;20120714;20120714;;6049224;EVL Horní Plouènice (èást 2);5354;Mimoò;-712939.78;-985289.48;KADLEC T., ZAPLETAL M., MARHOUL P. (2013) Motıli vybranıch evropsky vıznamnıch lokalit Libereckého kraje (Èeská republika). Klapalekiana. 49, 1-2. 43-71.;0;1;0;jedinci;;;;;;0;sbìr entomologickou síkou;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;SO;HD II, HD IV;VU;;_;;1104;20161109
609;39181974;Phengaris teleius;modrásek oèkovanı;Motıli;Marhoul Pavel;20120727;20120727;;6049221;EVL Horní Plouènice (èást 1);5353;izníkov;-722827.6;-979702.97;KADLEC T., ZAPLETAL M., MARHOUL P. (2013) Motıli vybranıch evropsky vıznamnıch lokalit Libereckého kraje (Èeská republika). Klapalekiana. 49, 1-2. 43-71.;0;5;0;jedinci;;;;;;0;sbìr entomologickou síkou;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;SO;HD II, HD IV;VU;;_;;1345;20161109
