PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1397;45646817;Phengaris nausithous;modrásek bahenní;Motıli;Švarc Jiøí;20180719;20180719;;6674615;PP Bohostice - jih;6350;Bohostice;-770740.84;-1093553.02;ŠVARC J. (2018) Terénní zápisky - náhodná pozorování.;0;30;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Švarc Jiøí;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;10;20181028
1398;45645815;Phengaris nausithous;modrásek bahenní;Motıli;Míèek Dušan;20180729;20180729;;6669682;EVL Jilešovice-Dìhylov;6174;Dobroslavice;-478777.49;-1095121.19;MÍÈEK D. (2018) Terénní zápisky - náhodná pozorování.;0;14;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Míèek Dušan;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;200;20181027
1399;45645812;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6674360;Rùodol I, Nová, p.è. 1024/3;5256;Rùodol I;-690173.47;-974115.48;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;;0;imaga;hojnì;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;10;20181027
1400;45645809;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6674362;Strá nad Nisou, Pod Strání, p.è. 1369/1;5256;Strá nad Nisou;-690774.34;-972074.64;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;5;1;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;3;20181027
1401;45645808;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6674361;Ostašov u Liberce, Švermova, p.è. 375/3;5256;Ostašov u Liberce;-690677.98;-974275.69;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;2;1;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;3;20181027
1402;45645807;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6674346;Ostašov u Liberce, Šrámkova, p.è. 379;5256;Ostašov u Liberce;-690992.22;-974147.51;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;2;1;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;3;20181027
1403;45645806;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6674359;Karlinky, U Kulturního domu, p.è. 112/2;5256;Karlinky;-691074.75;-974933.28;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;5;1;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;3;20181027
1404;45645805;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6674353;Karlinky, Volgogradská, p.è. 110/2;5256;Karlinky;-691072.95;-974996.33;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;2;1;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;2;20181027
1405;45645804;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6674358;Karlinky, Pod Lesem, p.è. 268;5256;Karlinky;-691373.15;-975698.95;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;3;1;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;3;20181027
1406;45645803;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6674357;Proseè nad Nisou, U Šamotky, p.è.1287;5256;Proseè nad Nisou;-684675.48;-978666.09;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;3;1;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;10;20181027
