"model","label","term","estimate","std_error","statistic","p_value"
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6569",4.65343206641689e-05,32023.2038754365,1.45314381550258e-09,0.999999998840559
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6571",4.6534320732001e-05,32023.2038754361,1.45314381762082e-09,0.999999998840559
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6572",4.65343197288107e-05,32023.2038754402,1.45314378629365e-09,0.999999998840559
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6573",4.65343169069633e-05,31251.479810947,1.48902762968245e-09,0.999999998811928
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6574",21.566115057178,29233.1746854054,0.000737727437723172,0.999411378720752
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6575",22.2592622377378,29233.1746768533,0.000761438416586434,0.999392460102111
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6576",4.65343128429281e-05,35802.8799936813,1.29973658127896e-09,0.99999999896296
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6643",4.65343171203032e-05,30532.9909998543,1.52406677487067e-09,0.999999998783971
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6644",4.65343163813841e-05,30659.9419979575,1.51775617789767e-09,0.999999998789006
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6645",4.65343171708051e-05,30532.9909998519,1.5240667765248e-09,0.999999998783971
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6666",4.65343146176368e-05,35802.8799936792,1.29973663084792e-09,0.99999999896296
"tel_mapping_field","Mapping field as a fixed effect","as.factor(SITMAP)6669",4.65343166386443e-05,35802.8799936692,1.29973668729646e-09,0.99999999896296
