"ID_LOKAL";"OBJECTID.x";"SEGMENT_ID";"REGION_ID.x";"FSB";"BIOTOP_SEZ";"DATUM";"ROK_AKT.x";"SEG_REL_ID.x";"REG_REL_ID.x";"SHAPE_Leng";"SHAPE_Area";"OBJECTID.y";"REGION_ID.y";"HABITAT";"HABIT_TYP";"BIOTOP";"STEJ_PR";"SEC";"BM";"ZMENA";"RB";"RBB";"SD";"MD";"DG";"DGP";"MGS";"MGN";"RH";"TD";"SF";"DATUM.y";"MAPOVATEL";"DILO";"POZNAMKA";"REPRE";"ZACH";"KVALITA";"PLO_BIO_M2";"ROK_AKT.y";"SEG_REL_ID.y";"REG_REL_ID.y";"FSB_EVAL_prep";"FSB_EVAL";"REGION_ID";"AREA_real";"LENGTH_real"
8638010;563330;4651079;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852207;5073;458,614406946;6518,41337611;6194073;"CZ0465";"6510";"n";"T1.1";100;"ot";NA;"0";"P";"T1.5";NA;NA;"1";NA;NA;NA;"2";"MP";"P";2012-07-24;"Černá Jana";"A002579";"vlhčí, sečené";NA;NA;1;6518,41337611;2012;1852207;5073;NA;"T";"CZ0465";0;0
8638011;563330;4651079;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852207;5073;458,614406946;6518,41337611;6194073;"CZ0465";"6510";"n";"T1.1";100;"ot";NA;"0";"P";"T1.5";NA;NA;"1";NA;NA;NA;"2";"MP";"P";2012-07-24;"Černá Jana";"A002579";"vlhčí, sečené";NA;NA;1;6518,41337611;2012;1852207;5073;NA;"T";"CZ0465";0;0
9383071;563330;4651079;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852207;5073;458,614406946;6518,41337611;6194073;"CZ0465";"6510";"n";"T1.1";100;"ot";NA;"0";"P";"T1.5";NA;NA;"1";NA;NA;NA;"2";"MP";"P";2012-07-24;"Černá Jana";"A002579";"vlhčí, sečené";NA;NA;1;6518,41337611;2012;1852207;5073;NA;"T";"CZ0465";0;0
9383072;563330;4651079;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852207;5073;458,614406946;6518,41337611;6194073;"CZ0465";"6510";"n";"T1.1";100;"ot";NA;"0";"P";"T1.5";NA;NA;"1";NA;NA;NA;"2";"MP";"P";2012-07-24;"Černá Jana";"A002579";"vlhčí, sečené";NA;NA;1;6518,41337611;2012;1852207;5073;NA;"T";"CZ0465";0;0
10088997;563330;4651079;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852207;5073;458,614406946;6518,41337611;6194073;"CZ0465";"6510";"n";"T1.1";100;"ot";NA;"0";"P";"T1.5";NA;NA;"1";NA;NA;NA;"2";"MP";"P";2012-07-24;"Černá Jana";"A002579";"vlhčí, sečené";NA;NA;1;6518,41337611;2012;1852207;5073;NA;"T";"CZ0465";0;0
10088992;563330;4651079;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852207;5073;458,614406946;6518,41337611;6194073;"CZ0465";"6510";"n";"T1.1";100;"ot";NA;"0";"P";"T1.5";NA;NA;"1";NA;NA;NA;"2";"MP";"P";2012-07-24;"Černá Jana";"A002579";"vlhčí, sečené";NA;NA;1;6518,41337611;2012;1852207;5073;NA;"T";"CZ0465";0;0
8638033;563975;4651064;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852165;5073;351,396826942;4281,80842514;6195007;"CZ0465";"6510";"n";"T1.1";100;NA;NA;"0";"V";NA;NA;NA;"1";NA;NA;NA;"2";"MP";"MP";2012-07-24;"Černá Jana";"A002579";"sečené";NA;NA;2;4281,80842514;2012;1852165;5073;NA;"T";"CZ0465";0;0
9383066;563975;4651064;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852165;5073;351,396826942;4281,80842514;6195007;"CZ0465";"6510";"n";"T1.1";100;NA;NA;"0";"V";NA;NA;NA;"1";NA;NA;NA;"2";"MP";"MP";2012-07-24;"Černá Jana";"A002579";"sečené";NA;NA;2;4281,80842514;2012;1852165;5073;NA;"T";"CZ0465";0;0
9383064;563975;4651064;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852165;5073;351,396826942;4281,80842514;6195007;"CZ0465";"6510";"n";"T1.1";100;NA;NA;"0";"V";NA;NA;NA;"1";NA;NA;NA;"2";"MP";"MP";2012-07-24;"Černá Jana";"A002579";"sečené";NA;NA;2;4281,80842514;2012;1852165;5073;NA;"T";"CZ0465";0;0
9383065;563975;4651064;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852165;5073;351,396826942;4281,80842514;6195007;"CZ0465";"6510";"n";"T1.1";100;NA;NA;"0";"V";NA;NA;NA;"1";NA;NA;NA;"2";"MP";"MP";2012-07-24;"Černá Jana";"A002579";"sečené";NA;NA;2;4281,80842514;2012;1852165;5073;NA;"T";"CZ0465";0;0
10088995;563975;4651064;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852165;5073;351,396826942;4281,80842514;6195007;"CZ0465";"6510";"n";"T1.1";100;NA;NA;"0";"V";NA;NA;NA;"1";NA;NA;NA;"2";"MP";"MP";2012-07-24;"Černá Jana";"A002579";"sečené";NA;NA;2;4281,80842514;2012;1852165;5073;NA;"T";"CZ0465";0;0
